Boat ID,Commander,Patrol Number,Patrol Length,Patrol Kind,Departure Date,Departure Port,Arrival Date,Arrival Port,Tonnage,Date Ordered,Date Launched,Date Commissioned,Fate,Fate Text,Date of Fate
1,Kptlt.  Jürgen Deecke,1,15,P,15/03/1940,Kiel,29/03/1940,Wilhelmshaven,NA,02/02/1935,15/06/1935,29/06/1935,SANK,"Sunk 6 April 1940 in the North Sea north of Terschelling, in approx. position 54.14N, 05.07E, by a mine in the British minefield Field No. 7, laid by the British destroyers HMS Express, HMS Esk, HMS Icarus and HMS Impulsive. 24 dead (all hands lost). (FDS/NHB, December 1993).",06/04/1940
1,KrvKpt.  Jürgen Deecke,2,3,P,04/04/1940,Wilhelmshaven,06/04/1940,NA,NA,02/02/1935,15/06/1935,29/06/1935,SANK,"Sunk 6 April 1940 in the North Sea north of Terschelling, in approx. position 54.14N, 05.07E, by a mine in the British minefield Field No. 7, laid by the British destroyers HMS Express, HMS Esk, HMS Icarus and HMS Impulsive. 24 dead (all hands lost). (FDS/NHB, December 1993).",06/04/1940
2,Kptlt.  Helmut Rosenbaum,1,15,P,15/03/1940,Kiel,29/03/1940,Wilhelmshaven,NA,02/02/1935,01/07/1935,25/07/1935,SANK,"Sank 8 April 1944 in the Baltic Sea north of Pillau, in position 54.48N, 19.55E, after a collision with the German steam trawler Helmi Söhle. 17 dead and 18 survivors.",08/04/1944
2,Kptlt.  Helmut Rosenbaum,2,12,P,04/04/1940,Wilhelmshaven,15/04/1940,Wilhelmshaven,NA,02/02/1935,01/07/1935,25/07/1935,SANK,"Sank 8 April 1944 in the Baltic Sea north of Pillau, in position 54.48N, 19.55E, after a collision with the German steam trawler Helmi Söhle. 17 dead and 18 survivors.",08/04/1944
3,Kptlt.  Joachim Schepke,1,5,P,04/09/1939,Wilhelmshaven,08/09/1939,Wilhelmshaven,NA,02/02/1935,19/07/1935,06/08/1935,DECOM,Decommissioned 1 August 1944 in Neustadt and cannibalized for spare parts. On 3 May 1945 hulk captured by British forces at Neustadt and broken up. ,01/08/1944
3,Kptlt.  Joachim Schepke,2,12,P,13/09/1939,Wilhelmshaven,24/09/1939,Wilhelmshaven,NA,02/02/1935,19/07/1935,06/08/1935,DECOM,Decommissioned 1 August 1944 in Neustadt and cannibalized for spare parts. On 3 May 1945 hulk captured by British forces at Neustadt and broken up. ,01/08/1944
3,Kptlt.  Joachim Schepke,3,7,P,27/09/1939,Wilhelmshaven,03/10/1939,Kiel,"2,348",02/02/1935,19/07/1935,06/08/1935,DECOM,Decommissioned 1 August 1944 in Neustadt and cannibalized for spare parts. On 3 May 1945 hulk captured by British forces at Neustadt and broken up. ,01/08/1944
3,Kptlt.  Gerd Schreiber,4,14,P,16/03/1940,Kiel,29/03/1940,Wilhelmshaven,NA,02/02/1935,19/07/1935,06/08/1935,DECOM,Decommissioned 1 August 1944 in Neustadt and cannibalized for spare parts. On 3 May 1945 hulk captured by British forces at Neustadt and broken up. ,01/08/1944
3,Kptlt.  Gerd Schreiber,5,8,P,12/04/1940,Wilhelmshaven,19/04/1940,Wilhelmshaven,NA,02/02/1935,19/07/1935,06/08/1935,DECOM,Decommissioned 1 August 1944 in Neustadt and cannibalized for spare parts. On 3 May 1945 hulk captured by British forces at Neustadt and broken up. ,01/08/1944
4,Oblt.  Harro von Klot-Heydenfeldt,1,11,P,04/09/1939,Wilhelmshaven,14/09/1939,Wilhelmshaven,NA,02/02/1935,31/07/1935,17/08/1935,DECOM,"Decommissioned 31 July 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Ustka, Poland) and captured there by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",31/07/1944
4,Oblt.  Harro von Klot-Heydenfeldt,2,11,P,19/09/1939,Wilhelmshaven,29/09/1939,Kiel,"5,133",02/02/1935,31/07/1935,17/08/1935,DECOM,"Decommissioned 31 July 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Ustka, Poland) and captured there by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",31/07/1944
4,Oblt.  Hans-Peter Hinsch,3,14,P,16/03/1940,Kiel,29/03/1940,Wilhelmshaven,NA,02/02/1935,31/07/1935,17/08/1935,DECOM,"Decommissioned 31 July 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Ustka, Poland) and captured there by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",31/07/1944
4,Oblt.  Hans-Peter Hinsch,4,11,P,04/04/1940,Wilhelmshaven,14/04/1940,Wilhelmshaven,"1,090",02/02/1935,31/07/1935,17/08/1935,DECOM,"Decommissioned 31 July 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Ustka, Poland) and captured there by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",31/07/1944
5,Kptlt.  Günter Kutschmann,1,16,P,24/08/1939,Neustadt,08/09/1939,Kiel,NA,02/02/1935,14/08/1935,31/08/1935,SANK,"Sank 19 March 1943 in the Baltic Sea west of Pillau, in position 54.40N, 19.45E, in a diving accident. 21 dead and 16 survivors.",19/03/1943
5,Kptlt.  Heinrich Lehmann-Willenbrock,2,16,P,04/04/1940,Wilhelmshaven,19/04/1940,Wilhelmshaven,NA,02/02/1935,14/08/1935,31/08/1935,SANK,"Sank 19 March 1943 in the Baltic Sea west of Pillau, in position 54.40N, 19.45E, in a diving accident. 21 dead and 16 survivors.",19/03/1943
6,Oblt.  Joachim Matz,1,21,P,24/08/1939,Neustadt,13/09/1939,Kiel,NA,02/02/1935,21/08/1935,07/09/1935,DECOM,"Decommissioned 7 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",07/08/1944
6,Oblt.  Adalbert Schnee,2,16,P,04/04/1940,Wilhelmshaven,19/04/1940,Wilhelmshaven,NA,02/02/1935,21/08/1935,07/09/1935,DECOM,"Decommissioned 7 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",07/08/1944
7,Oblt.  Werner Heidel,1,16,P,24/08/1939,Neustadt,08/09/1939,Kiel,NA,20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
7,Oblt.  Werner Heidel,2,16,P,18/09/1939,Kiel,03/10/1939,Kiel,"4,524",20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
7,Kptlt.  Karl Schrott,3,6,P,03/03/1940,Wilhelmshaven,08/03/1940,Wilhelmshaven,NA,20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
7,Kptlt.  Karl Schrott,4,6,P,14/03/1940,Wilhelmshaven,19/03/1940,Wilhelmshaven,NA,20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
7,Kptlt.  Karl Schrott,5,19,P,03/04/1940,Wilhelmshaven,21/04/1940,Kiel,NA,20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
7,Kptlt.  Karl Schrott,6,12,P,07/05/1940,Kiel,18/05/1940,Kiel,NA,20/07/1934,29/06/1935,18/07/1935,SANK,"Sank 18 February 1944 in the Baltic Sea west of Pillau, in position 54.52N, 19.29,8E, in a diving accident. 29 dead (all hands lost).",18/02/1944
8,Kptlt.  Eitel-Friedrich Kentrat,1,18,P,19/05/1940,Kiel,05/06/1940,*at sea*,NA,20/07/1934,16/07/1935,05/08/1935,DECOM,"Decommissioned 31 March 1945 in Wilhelmshaven. Scuttled on 5 May 1945 at Wilhelmshaven, western entrance to Raederschleuse. Wreck broken up. ",31/03/1945
9,Kptlt.  Ludwig Mathes,1,22,P,25/08/1939,Wilhelmshaven,15/09/1939,Kiel,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,2,7,P,16/01/1940,Kiel,22/01/1940,Wilhelmshaven,"2,367",20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,3,10,P,05/02/1940,Wilhelmshaven,14/02/1940,Helgoland,"7,208",20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,4,7,P,14/03/1940,Wilhelmshaven,20/03/1940,Wilhelmshaven,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,5,21,P,04/04/1940,Wilhelmshaven,24/04/1940,Kiel,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,6,11,P,05/05/1940,Kiel,15/05/1940,Wilhelmshaven,"4,390",20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Wolfgang Lüth,7,15,P,16/05/1940,Wilhelmshaven,30/05/1940,Kiel,"3,256",20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9, Hans-Joachim Schmidt-Weichert,8,21,P,11/11/1942,Konstanza,01/12/1942,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9, Hans-Joachim Schmidt-Weichert,9,20,P,19/12/1942,Konstanza,07/01/1943,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9, Hans-Joachim Schmidt-Weichert,10,29,P,03/02/1943,Konstanza,03/03/1943,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9, Hans-Joachim Schmidt-Weichert,11,24,P,17/04/1943,Konstanza,10/05/1943,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9, Hans-Joachim Schmidt-Weichert,12,24,P,20/05/1943,Konstanza,12/06/1943,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Kptlt.  Hans-Joachim Schmidt-Weichert,13,12,P,26/08/1943,Konstanza,06/09/1943,Sevastopol,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Heinrich Klapdor,14,22,P,02/10/1943,Konstanza,23/10/1943,Feodosia,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Heinrich Klapdor,15,28,P,28/11/1943,Konstanza,25/12/1943,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Heinrich Klapdor,16,5,P,21/02/1944,Konstanza,25/02/1944,Sevastopol,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Heinrich Klapdor,17,9,P,23/03/1944,Konstanza,31/03/1944,Feodosia,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Kptlt.  Klaus Petersen,18,33,P,26/04/1944,Konstanza,28/05/1944,Konstanza,412,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
9,Oblt.  Heinrich Klapdor,19,28,P,15/07/1944,Konstanza,11/08/1944,Konstanza,NA,20/07/1934,30/07/1935,21/08/1935,SANK,"Sunk at 1030hrs on 20 August 1944 in the Black Sea at Constanza, in position 44.10N, 28.41E, by bombs during Soviet air raid (VVS VMF).

Wreck raised on 22 October 1944 by Soviets and towed to Nikolaev. On 19 April 1945 renamed TS-16 for a planned reconstruction, but declared a total loss on 12 December 1946 and broken up. 
",28/11/1030
10,Kptlt.  Georg-Wilhelm Schulz,1,13,P,07/09/1939,Kiel,19/09/1939,Kiel,NA,20/07/1934,13/08/1935,09/09/1935,DECOM,"Decommissioned 1 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",01/08/1944
10,Kptlt.  Georg-Wilhelm Schulz,2,20,P,26/09/1939,Kiel,15/10/1939,Kiel,NA,20/07/1934,13/08/1935,09/09/1935,DECOM,"Decommissioned 1 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",01/08/1944
10,Oblt.  Joachim Preuss,3,4,P,28/01/1940,Kiel,31/01/1940,Helgoland,NA,20/07/1934,13/08/1935,09/09/1935,DECOM,"Decommissioned 1 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",01/08/1944
10,Oblt.  Joachim Preuss,4,7,P,14/02/1940,Wilhelmshaven,20/02/1940,Wilhelmshaven,"6,356",20/07/1934,13/08/1935,09/09/1935,DECOM,"Decommissioned 1 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",01/08/1944
10,Oblt.  Joachim Preuss,5,19,P,03/04/1940,Wilhelmshaven,21/04/1940,Wilhelmshaven,NA,20/07/1934,13/08/1935,09/09/1935,DECOM,"Decommissioned 1 August 1944 in Gotenhafen (today Gdynia, Poland) and cannibalized for spare parts. In early 1945 hulk was towed west to Stolpmünde (today Utska, Poland) and captured by Soviet forces on 9 March 1945.

Scuttled in late 1945 in Stolpmünde harbor by Russians after being inspected by the Tripartite Naval Commission (TNC) on 28 August 1945. Raised by the Polish harbor authority in 1950 and broken up in 1951. 
",01/08/1944
12,Kptlt.  Dietrich von der Ropp,1,16,P,25/08/1939,Wilhelmshaven,09/09/1939,Kiel,NA,20/07/1934,11/09/1935,30/09/1935,SANK,"Sunk on or about 8 October 1939 in the English Channel near Dover, in approximate position 51.10N, 01.30E, by a mine. 27 dead (all hands lost).",08/10/1939
12,Kptlt.  Dietrich von der Ropp,2,16,P,23/09/1939,Wilhelmshaven,08/10/1939,Sunk,NA,20/07/1934,11/09/1935,30/09/1935,SANK,"Sunk on or about 8 October 1939 in the English Channel near Dover, in approximate position 51.10N, 01.30E, by a mine. 27 dead (all hands lost).",08/10/1939
13,Kptlt.  Karl Daublebsky von Eichhain,1,7,P,25/08/1939,Wilhelmshaven,31/08/1939,Wilhelmshaven,NA,02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Kptlt.  Karl Daublebsky von Eichhain,2,23,P,11/09/1939,Wilhelmshaven,03/10/1939,Kiel,NA,02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Kptlt.  Karl Daublebsky von Eichhain,3,10,P,25/10/1939,Kiel,03/11/1939,Kiel,"4,666",02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Kptlt.  Heinz Scheringer,4,11,P,15/11/1939,Kiel,25/11/1939,Kiel,793,02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Kptlt.  Heinz Scheringer,5,7,P,09/12/1939,Kiel,15/12/1939,Kiel,"9,738",02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Oblt.  Max-Martin Schulte,6,13,P,24/01/1940,Kiel,05/02/1940,Wilhelmshaven,"3,659",02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Oblt.  Max-Martin Schulte,7,14,P,16/02/1940,Wilhelmshaven,29/02/1940,Wilhelmshaven,NA,02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
13,Oblt.  Max-Martin Schulte,8,20,P,31/03/1940,Wilhelmshaven,19/04/1940,Bergen,"4,935",02/02/1935,09/11/1935,30/11/1935,SANK,"Sunk 31 May 1940 in the North Sea about 12 miles south-east of Lowestoft, in position 52.26N, 02.02E, by depth charges from the British sloop HMS Weston. 26 survivors (no casualties).",31/05/1940
